Entity,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Country
Entity,Total,iGV,iGTa,iGTe,oGV,oGTa,oGTe,Total,iGV,iGTa,iGTe,oGV,oGTa,oGTe,Total,iGV,iGTa,iGTe,oGV,oGTa,oGTe,
AIESEC in Balkh (Expansion),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Afghanistan
Kabul University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Afghanistan
Kardan University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Afghanistan
Expansion of Korçë,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Expansion of Durrës,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Expansion of Elbasan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Expansion of Shkodër,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Expansion of Vlora,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
South Tirana,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
North Tirana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Albania MC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Babez,16.67%,0.0%,0.0%,0.0%,12.5%,16.67%,20.0%,129.17,0.0%,0.0%,0.0%,37.5%,200.0%,160.0%,25.0,0.0%,0.0%,0.0%,25.0%,33.33%,20.0%,Algeria
Bejaia,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,33.33,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,Algeria
Benak,35.71%,0.0%,0.0%,0.0%,28.57%,50.0%,40.0%,135.71,0.0%,0.0%,0.0%,57.14%,400.0%,140.0%,21.43,0.0%,0.0%,0.0%,0.0%,100.0%,20.0%,Algeria
Blida,66.67%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,250.0,0.0%,0.0%,0.0%,0.0%,0.0%,250.0%,16.67,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,Algeria
Constantine,29.41%,0.0%,0.0%,0.0%,28.57%,50.0%,25.0%,88.24,0.0%,0.0%,0.0%,57.14%,250.0%,75.0%,23.53,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,Algeria
Oran,34.48%,0.0%,0.0%,0.0%,10.0%,62.5%,36.36%,68.97,0.0%,0.0%,0.0%,10.0%,62.5%,127.27%,6.9,0.0%,0.0%,0.0%,10.0%,0.0%,9.09%,Algeria
